Time Placed, Deadline, Drone Return Time, Time Delivered, Delivery Distance, Return Distance
2,38,11,10,8,1
1,47,13,10,9,3
0,7,14,9,9,5
2,1,14,11,9,3
0,3,15,9,9,6
1,2,15,10,9,5
3,6,15,12,9,3
0,14,16,13,13,3
2,8,16,9,7,7
1,11,19,12,11,7
5,3,19,17,12,2
9,2,19,17,8,2
11,5,21,17,6,4
9,12,22,21,5,3
7,10,25,21,14,4
18,4,26,22,4,4
11,5,27,20,9,7
17,11,27,25,8,2
16,7,28,27,11,1
12,7,28,22,10,6
15,3,29,24,9,5
8,14,31,30,11,5
5,15,32,31,8,5
15,6,33,26,11,7
24,1,33,32,8,1
20,12,33,28,8,5
6,15,34,33,13,3
25,9,36,31,6,5
6,15,36,35,7,3
7,15,36,35,10,4
27,4,37,35,8,2
21,1,38,34,13,4
27,15,38,36,8,3
29,16,41,39,10,2
26,10,42,35,9,7
29,12,44,42,13,2
33,10,46,44,11,2
38,2,48,44,6,4
40,7,48,45,5,3
33,10,50,42,9,8
39,5,51,48,9,3
34,16,52,46,12,6
38,1,53,47,9,6
37,12,57,53,16,4
45,12,58,56,11,2
41,12,59,57,16,2
42,7,60,53,11,7
51,10,61,59,8,2
46,3,62,55,9,7
43,9,63,58,15,5
50,4,64,61,11,3
43,13,64,63,8,2
44,13,65,64,13,6
44,15,66,65,12,7
47,9,66,59,12,7
54,15,68,66,11,3
50,7,68,63,13,5
4,17,69,68,13,3
56,10,70,66,10,4
6,17,71,70,11,2
56,10,72,67,11,5
25,17,72,71,8,2
59,3,73,69,10,4
61,16,75,73,12,2
56,18,75,74,12,3
61,3,77,70,9,7
68,15,78,74,6,4
62,15,79,74,12,5
69,17,80,79,10,1
66,11,80,78,12,2
71,2,80,76,5,4
74,18,82,81,7,1
76,2,84,80,4,4
77,12,85,84,7,1
74,12,88,81,7,7
78,5,88,86,8,2
72,14,88,85,13,3
80,7,92,87,7,5
78,14,94,92,14,2
81,13,95,88,7,7
82,4,96,94,12,2
81,9,97,93,12,4
85,3,97,92,7,5
88,9,102,99,10,4
84,3,102,97,13,5
83,6,102,95,12,7
92,7,104,102,10,2
89,3,105,103,14,2
86,5,106,100,14,6
92,6,107,100,8,7
83,10,108,107,13,6
86,8,108,100,14,8
98,5,109,108,10,1
88,10,111,110,11,1
93,11,112,111,10,7
100,2,112,110,10,2
84,12,115,114,6,2
86,12,115,114,11,4
101,3,116,109,8,7
96,3,116,111,15,5
103,6,117,111,8,6
102,4,118,115,13,3
101,11,120,113,11,8
102,12,122,120,13,7
114,8,124,122,8,2
108,3,127,125,17,2
109,2,128,121,12,7
107,1,128,125,18,3
115,2,131,124,9,7
114,4,133,126,12,7
115,11,134,127,12,7
123,1,135,131,8,4
118,3,136,132,14,4
121,5,139,135,14,4
127,6,139,138,11,1
124,2,142,138,14,4
132,10,142,141,7,1
127,7,143,139,12,4
126,10,146,139,13,7
133,2,148,147,14,1
141,6,148,145,4,3
135,8,149,146,11,3
134,6,150,147,13,3
130,1,152,147,17,5
137,3,152,147,10,5
141,2,155,148,7,7
144,9,156,151,7,5
140,1,157,152,12,5
150,3,158,155,5,3
148,5,159,158,10,1
146,6,160,153,7,7
148,9,162,155,7,7
153,5,163,162,9,1
150,10,164,162,12,2
149,10,166,159,10,7
156,6,166,164,8,2
153,10,168,165,12,3
158,1,168,166,8,2
112,13,171,170,6,4
164,4,172,169,5,3
155,2,172,165,10,7
162,1,172,170,8,2
155,6,173,169,14,4
159,10,173,171,12,2
163,5,173,168,5,5
128,13,176,175,13,1
163,10,178,171,8,7
165,4,183,179,14,4
172,11,183,182,10,1
173,1,184,179,6,5
174,12,184,183,9,1
172,1,184,181,9,3
164,4,184,176,12,8
175,4,185,183,8,2
173,7,185,180,7,5
131,13,188,187,8,2
170,2,190,187,17,3
178,11,192,190,12,2
179,6,193,189,10,4
180,1,195,192,12,3
184,6,196,194,10,2
179,8,196,189,10,7
177,1,196,188,11,8
189,6,203,196,7,7
186,7,204,197,11,7
184,12,204,197,13,7
194,6,206,204,10,2
192,1,206,204,12,2
188,12,207,206,12,7
188,11,208,206,13,7
193,6,209,203,10,6
191,5,209,206,15,3
192,2,209,204,12,5
197,6,209,204,7,5
190,12,210,209,10,1
195,5,211,208,13,3
194,10,211,205,10,7
150,13,212,211,10,6
170,13,212,211,11,3
171,13,212,211,11,3
176,13,213,212,7,5
181,13,214,213,10,4
199,13,215,214,10,2
200,13,217,215,10,7
210,6,218,217,7,1
212,12,218,215,3,3
213,12,221,218,5,3
206,10,221,214,8,7
213,1,226,222,9,4
207,1,227,220,13,7
209,7,228,221,12,7
216,8,228,224,8,4
210,13,228,220,10,8
223,1,229,228,4,2
219,9,229,226,7,3
216,6,229,227,11,2
219,1,232,230,11,2
227,5,233,231,4,2
217,10,235,231,11,7
221,8,235,233,12,2
226,7,235,234,8,1
225,12,238,237,11,2
99,14,238,237,8,2
224,8,241,237,13,4
219,11,241,233,14,8
230,10,242,240,10,2
222,9,242,237,15,5
225,1,243,235,10,8
231,6,244,239,8,5
237,6,244,243,5,2
231,7,248,241,10,7
232,8,248,241,9,7
238,9,250,246,8,4
241,12,252,248,7,4
241,7,253,248,7,5
237,3,253,248,11,5
239,2,254,252,13,2
242,5,255,253,11,2
247,7,259,257,10,2
241,8,259,255,14,4
244,10,260,256,12,4
248,9,262,260,12,2
249,7,262,260,11,2
258,9,264,262,4,2
247,4,265,260,13,5
255,1,266,261,6,5
256,10,268,265,9,3
255,2,268,262,7,6
251,6,269,267,16,2
243,12,272,271,10,7
257,5,273,266,9,7
254,5,275,268,14,7
262,6,275,272,10,3
263,12,278,277,9,5
260,11,278,274,14,4
260,10,278,274,14,4
265,6,279,272,7,7
265,6,280,273,8,7
263,12,281,280,7,5
269,3,282,280,11,2
272,4,282,281,9,1
275,2,283,281,6,2
267,3,283,280,13,3
276,12,286,281,5,5
274,3,287,286,12,1
281,3,290,287,6,3
285,1,290,288,3,2
273,13,293,289,16,4
280,8,294,289,9,5
277,12,295,291,14,4
277,5,295,290,13,5
283,4,297,294,11,3
285,2,300,297,12,3
291,8,300,298,7,2
287,4,300,294,7,6
282,2,302,298,16,4
284,6,304,296,12,8
286,8,306,299,13,7
301,8,307,305,4,2
295,3,308,303,8,5
287,10,310,303,16,7
297,9,312,305,8,7
294,3,312,305,11,7
299,3,312,306,7,6
299,1,314,311,12,3
302,1,314,310,8,4
298,10,315,314,10,4
302,6,316,314,12,2
306,2,320,315,9,5
305,5,322,315,10,7
305,4,323,319,14,4
311,9,325,318,7,7
316,4,326,324,8,2
307,7,327,319,12,8
315,8,327,325,10,2
312,4,328,320,8,8
315,6,328,324,9,4
309,10,330,329,13,2
317,6,332,328,11,4
316,5,334,330,14,4
321,3,335,328,7,7
322,8,336,333,11,3
314,9,336,329,15,7
291,11,338,337,10,4
290,12,339,338,13,5
291,12,339,338,13,5
323,1,340,333,10,7
329,9,341,340,11,1
297,12,341,340,11,7
324,12,342,341,3,1
